epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,9,,,0.984375,0.6412186622619629,,
0,19,,,0.9609375,0.4872380495071411,,
0,29,,,0.9921875,0.06615852564573288,,
0,31,,,,,0.9760000109672546,0.11181750148534775
1,39,,,0.9921875,0.044964540749788284,,
1,49,,,0.9609375,0.1944555640220642,,
1,59,,,0.96875,0.1481371968984604,,
1,63,,,,,0.9760000109672546,0.11333399266004562
2,69,,,0.96875,0.14349716901779175,,
2,79,,,0.9765625,0.11140532791614532,,
2,89,,,0.984375,0.07823052257299423,,
2,95,,,,,0.9760000109672546,0.11206623166799545
3,99,,,1.0,0.018166331574320793,,
3,109,,,0.9765625,0.10716351866722107,,
3,119,,,0.96875,0.1379813253879547,,
3,127,,,,,0.9760000109672546,0.11036910116672516
4,129,,,0.9921875,0.047607485204935074,,
4,139,,,0.9921875,0.04950976371765137,,
4,149,,,0.9921875,0.049721818417310715,,
4,159,,,1.0,0.01849350333213806,,
4,159,,,,,0.9760000109672546,0.10995405912399292
5,169,,,0.9921875,0.04975321143865585,,
5,179,,,0.9609375,0.1666819453239441,,
5,189,,,0.984375,0.0788574293255806,,
5,191,,,,,0.9760000109672546,0.10801838338375092
6,199,,,0.984375,0.07712959498167038,,
6,209,,,0.984375,0.0789324939250946,,
6,219,,,0.9921875,0.04807515814900398,,
6,223,,,,,0.9760000109672546,0.10419807583093643
7,229,,,0.9921875,0.042500484734773636,,
7,239,,,0.9765625,0.10202760994434357,,
7,249,,,0.984375,0.056254271417856216,,
7,255,,,,,0.9760000109672546,0.07657473534345627
8,259,,,0.9921875,0.028799204155802727,,
8,269,,,0.9921875,0.020712092518806458,,
8,279,,,0.984375,0.1266111135482788,,
8,287,,,,,0.9760000109672546,0.09722542017698288
9,289,,,0.9765625,0.1072034165263176,,
9,299,,,1.0,0.009160267189145088,,
9,309,,,0.9609375,0.10101833194494247,,
9,319,,,0.96875,0.04989591985940933,,
9,319,,,,,0.9760000109672546,0.07829708606004715
10,329,,,1.0,0.012604350224137306,,
10,339,,,0.984375,0.0571817085146904,,
10,349,,,0.9765625,0.05402712523937225,,
10,351,,,,,0.9760000109672546,0.06466779857873917
11,359,,,1.0,0.00839219056069851,,
11,369,,,0.9765625,0.051871027797460556,,
11,379,,,0.9765625,0.08720383793115616,,
11,383,,,,,0.9760000109672546,0.06331373751163483
12,384,0.984000027179718,0.04476887732744217,,,,
